Unnamed: 0,Household sample weight (6 decimals),Number of household members,Sample strata for sampling errors,Stratification used in sample design,Region,Type of place of residence,Electricity,Radio,Television,Refrigerator,Mobile telephone,Computer,Microwave,Wealth index combined,Wealth index for urban/rural,Wealth index factor score combined (5 decimals),Wealth index factor score for urban/rural (5 decimals),Energy Use
44,1313052,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,1,0,richest,middle,112060,44564,868.1273970294436
45,903335,2,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-35397,-145215,0.0
46,903335,1,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,richer,poorest,38393,-50246,0.0
47,903335,7,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorest,38634,-49936,337.7372661640139
48,903335,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,49874,-35469,677.5253052301479
49,903335,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorest,40590,-47419,513.4681646836746
50,903335,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,78111,871,796.8232987108036
51,903335,3,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richest,middle,106688,37650,240.65133182541047
52,903335,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,53014,-31428,738.1539678905639
53,903335,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,80089,3417,513.4681646836746
54,903335,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,richer,poorer,51722,-33092,132.100310824659
55,903335,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,65069,-15914,974.0
56,903335,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,48102,-37750,677.5253052301479
57,903335,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,middle,94846,22409,513.4681646836746
58,903335,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,richer,126448,63082,868.1273970294436
59,903335,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,0,0,0,richer,poorest,44313,-42627,508.87337126368647
60,903335,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,104443,34760,559.416098883556
61,903335,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,100243,29356,974.0
62,903335,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,middle,92649,19583,974.0
63,903335,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,53277,-31090,155.0742779245997
64,903335,4,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,richer,poorest,34562,-55177,230.0
65,903335,1,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,richer,poorest,30938,-59840,0.0
66,903335,1,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-39055,-149922,0.0
67,903335,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,richer,poorer,46279,-40097,174.30740514869578
68,903335,4,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richest,middle,109082,40731,270.0
69,847814,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,richer,poorer,53161,-31240,132.100310824659
70,847814,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,81199,4845,204.62173647890373
71,847814,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,0,0,richest,middle,109380,41114,1670.2985031141452
72,847814,4,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorest,40603,-47401,270.0
73,847814,3,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,middle,90332,16600,240.65133182541047
74,847814,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,102272,31967,559.416098883556
75,847814,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,75677,-2261,677.5253052301479
76,847814,5,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,1,0,richest,richer,162055,108908,2048.9605265697032
77,847814,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,111513,43860,559.416098883556
78,847814,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,1,1,0,0,richest,middle,123504,59292,204.62173647890373
79,847814,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,70021,-9541,868.1273970294436
80,847814,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorest,36052,-53258,559.416098883556
81,847814,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,middle,poorest,24814,-67723,894.0
82,847814,3,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,1,1,0,1,richest,richest,212398,173700,2130.209937269374
83,847814,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,105989,36750,974.0
84,847814,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,1,0,richest,richer,173325,123412,738.1539678905639
85,847814,6,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-44615,-157078,0.0
86,847814,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,middle,94171,21541,559.416098883556
87,847814,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,1,richer,middle,93158,20237,1068.5801793898306
88,847814,1,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,middle,poorest,-16980,-121511,0.0
89,847814,1,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,middle,poorest,-2629,-103041,0.0
90,847814,5,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,55804,-27838,295.20775996468507
91,1137484,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,middle,91448,18037,974.0
92,1137484,5,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,62157,-19661,1064.934660020753
93,1137484,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,116236,49938,868.1273970294436
94,1137484,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,88750,14563,974.0
95,1137484,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,85912,10911,868.1273970294436
96,1137484,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorest,41145,-46704,974.0
97,1137484,6,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,115533,49034,1145.500967939032
98,1137484,3,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richest,middle,103174,33128,240.65133182541047
99,1137484,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,111240,43509,974.0
100,1137484,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,1,0,richer,middle,95991,23883,559.416098883556
101,1137484,4,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,1,1,0,1,richest,richer,168476,117172,2390.0
102,1137484,4,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,50287,-34938,270.0
103,1137484,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,middle,92684,19627,559.416098883556
104,1137484,4,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richest,middle,102922,32804,270.0
105,1137484,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,0,0,richer,middle,94625,22126,1874.0
106,1137484,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,104907,35358,868.1273970294436
107,1137484,6,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,46580,-39710,1051.414646137058
108,1137484,4,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,richer,poorer,56991,-26310,230.0
109,1137484,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,1,0,richest,middle,113155,45973,513.4681646836746
110,1137484,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,richer,133019,71538,868.1273970294436
111,1287043,5,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorest,poorest,-100393,-228864,0.0
112,1287043,7,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,middle,poorest,-15591,-119723,337.7372661640139
113,1287043,1,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,0,0,0,poorest,poorest,-79337,-201765,0.0
114,1287043,2,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,0,0,0,poorer,poorest,-51441,-165863,0.0
115,1287043,2,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-47381,-160637,0.0
116,1287043,4,mombasa: urban,mombasa: urban,mombasa,1,0,1,1,0,1,0,0,poorer,poorest,-44330,-156711,0.0
117,1287043,7,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-55000,-170443,0.0
118,1287043,4,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-58928,-175499,0.0
119,1287043,5,mombasa: urban,mombasa: urban,mombasa,1,0,0,1,0,1,0,0,middle,poorest,-4809,-105848,0.0
120,1287043,1,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,middle,poorest,-27306,-134802,0.0
121,1287043,4,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-66470,-185205,0.0
122,1287043,1,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-63596,-181507,0.0
123,1287043,1,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,0,0,0,poorest,poorest,-113119,-245243,0.0
124,1287043,1,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,0,0,0,poorest,poorest,-110244,-241543,0.0
125,1287043,6,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-64045,-182085,0.0
126,1287043,2,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-65105,-183448,0.0
127,1287043,4,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,poorer,poorest,-41678,-153298,0.0
128,1287043,3,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-53128,-168035,0.0
129,1287043,1,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,poorer,poorest,-30841,-139350,0.0
130,1287043,4,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,middle,poorest,-30266,-138611,0.0
131,1287043,2,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-54624,-169960,0.0
132,1287043,3,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,middle,poorest,12090,-84098,0.0
133,1287043,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,middle,poorest,-7463,-109263,174.30740514869578
134,1287043,5,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-62754,-180423,0.0
135,1791823,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,richer,poorer,54037,-30112,132.100310824659
136,1791823,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorest,42649,-44769,868.1273970294436
137,1791823,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,richer,poorest,33526,-56510,174.30740514869578
138,1791823,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,112458,45077,738.1539678905639
139,1791823,7,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorest,poorest,-86228,-210634,0.0
140,1791823,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,0,0,0,middle,poorest,16111,-78923,554.8213054635678
141,1791823,3,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorest,poorest,-78604,-200822,0.0
142,1791823,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,0,0,richest,richer,128663,65933,1874.0
143,1791823,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,richer,174260,124616,559.416098883556
144,1791823,5,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,75194,-2883,295.20775996468507
145,1791823,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richest,middle,117881,52056,513.4681646836746
146,1791823,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,middle,91055,17530,868.1273970294436
147,1791823,4,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorest,35054,-54543,270.0
148,1791823,3,mombasa: urban,mombasa: urban,mombasa,1,0,1,1,1,1,0,0,richer,poorer,80392,3808,0.0
149,1791823,5,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorest,poorest,-98096,-225909,0.0
150,1791823,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,1,1,richest,richest,216038,178384,2144.470756933102
151,1791823,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,middle,poorest,25853,-66386,868.1273970294436
152,1791823,1,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,middle,poorest,11995,-84220,0.0
153,1791823,2,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-32373,-141323,0.0
154,1791823,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorest,36778,-52325,155.0742779245997
155,1209766,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,72336,-6561,738.1539678905639
156,1209766,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,1,1,0,0,richest,middle,119006,53503,204.62173647890373
157,1209766,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,0,0,richest,middle,113829,46840,1420.226422820243
158,1209766,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorest,39508,-48812,868.1273970294436
159,1209766,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,richer,poorer,51653,-33181,132.100310824659
160,1209766,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,middle,93391,20537,559.416098883556
161,1209766,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,87302,12701,155.0742779245997
162,1209766,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,0,1,richest,richer,153850,98348,2406.0
163,1209766,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,83308,7560,513.4681646836746
164,1209766,6,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,80172,3524,1145.500967939032
165,1209766,6,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,richer,135034,74132,1145.500967939032
166,1209766,3,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,51658,-33174,240.65133182541047
167,1209766,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,middle,92430,19300,974.0
168,1209766,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,50538,-34615,974.0
169,1209766,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,1,1,richest,richest,233194,200465,2406.0
170,1209766,7,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,57702,-25395,337.7372661640139
171,1209766,4,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-46936,-160065,0.0
172,1178640,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,117707,51831,974.0
173,1178640,4,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,88729,14537,270.0
174,1178640,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,105717,36401,559.416098883556
175,1178640,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,75000,-3133,868.1273970294436
176,1178640,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,57944,-25084,559.416098883556
177,1178640,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,102772,32610,868.1273970294436
178,1178640,13,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorest,poorest,-110982,-242493,0.0
179,1178640,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,0,0,0,middle,poorest,-18338,-123259,554.8213054635678
180,1178640,5,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-39917,-151032,0.0
181,1178640,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,52339,-32297,155.0742779245997
182,1178640,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,103233,33204,868.1273970294436
183,1178640,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,0,1,richest,richer,127697,64688,2406.0
184,1178640,5,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,86663,11878,295.20775996468507
185,1178640,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,70739,-8617,868.1273970294436
186,1178640,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,0,0,richest,middle,116909,50804,1874.0
187,1178640,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,114211,47333,868.1273970294436
188,1178640,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,middle,poorest,25042,-67428,796.8232987108036
189,1178640,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,53316,-31040,513.4681646836746
190,1178640,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,1,0,richest,middle,109867,41742,513.4681646836746
191,1178640,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,middle,poorest,15407,-79829,132.100310824659
192,1178640,6,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorest,35844,-53526,1145.500967939032
193,851014,5,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,poorest,poorest,-79494,-201967,0.0
194,851014,5,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,0,0,richest,richer,152863,97078,2048.9605265697032
195,851014,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,45480,-41125,513.4681646836746
196,851014,5,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,middle,poorest,-8461,-110547,977.4656941052906
197,851014,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,52998,-31449,974.0
198,851014,7,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,113265,46114,1218.3559157175907
199,851014,7,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorest,poorest,-88219,-213197,0.0
200,851014,3,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorest,poorest,-99007,-227080,0.0
201,851014,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,1,1,0,1,richest,richer,167418,115811,1381.884121061433
202,851014,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,middle,poorest,2243,-96771,559.416098883556
203,851014,3,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorest,39094,-49344,240.65133182541047
204,851014,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,middle,poorest,18000,-76492,132.100310824659
205,851014,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,middle,poorest,9424,-87529,132.100310824659
206,851014,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,51220,-33737,974.0
207,851014,6,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,67268,-13084,1145.500967939032
208,851014,1,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,middle,poorest,-10809,-113570,0.0
209,851014,2,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,middle,poorest,-24133,-130717,0.0
210,851014,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,61968,-19904,738.1539678905639
